TEAM_ABBREVIATION,PTS,WL
DEN,128,W
GSW,110,L
IND,121,L
LAC,115,W
POR,122,W
LAL,131,W
OKC,103,L
HOU,132,W
BOS,113,W
ORL,108,L
SAC,110,L
SAS,118,L
MEM,101,L
ATL,117,L
BKN,101,L
NOP,126,L
NYK,96,L
CHI,128,L
WAS,117,L
PHI,126,W
MIN,132,W
DAL,149,W
DET,133,W
TOR,136,W
MIA,143,W
UTA,107,L
CLE,130,W
CHA,110,W
MIL,106,L
PHX,135,W
SAS,139,W
ATL,124,W
OKC,107,L
WAS,117,L
NOP,118,L
IND,94,L
HOU,132,L
LAC,97,L
LAL,101,W
UTA,147,W
MEM,101,L
CLE,102,L
CHA,100,L
BOS,144,W
DEN,127,W
DET,118,W
MIL,125,W
NYK,112,W
DAL,120,L
CHI,103,L
TOR,95,L
PHI,105,W
BKN,108,L
GSW,118,L
MIN,136,W
PHX,73,L
POR,116,W
SAC,124,W
ORL,127,W
MIA,140,W
LAL,119,W
TOR,128,W
IND,123,W
MIA,114,L
PHI,102,L
HOU,113,W
NYK,112,W
BOS,106,L
BKN,94,L
GSW,103,L
WAS,108,L
CHI,119,W
ATL,116,L
DET,137,W
POR,101,L
CLE,122,W
OKC,128,W
DAL,107,L
LAC,110,L
PHX,112,W
SAS,112,W
MIL,111,L
DEN,136,W
MIN,120,L
ORL,132,W
MEM,119,L
CHI,129,W
LAL,87,L
LAC,116,W
TOR,121,W
MIL,90,L
IND,104,L
HOU,119,W
SAC,105,L
PHX,105,L
BKN,96,W
BOS,113,W
OKC,123,W
WAS,98,L
MIN,124,W
NOP,156,W
DAL,103,L
GSW,110,W
CHA,102,L
MIA,95,L
UTA,137,L
POR,132,L
ORL,123,W
PHI,102,L
NYK,108,W
DEN,137,W
MEM,126,L
ATL,105,L
SAS,115,W
DET,107,L
CLE,142,W
LAC,138,W
HOU,117,W
BOS,115,W
BKN,121,W
GSW,116,L
MIL,131,W
TOR,101,L
ORL,112,W
UTA,111,L
IND,108,L
DAL,134,W
CHA,122,W
CLE,117,W
MEM,115,L
PHX,120,W
CHI,110,L
WAS,115,L
OKC,146,W
NOP,108,L
MIN,108,L
SAC,109,L
LAL,128,L
DET,116,W
MIA,152,W
SAS,134,L
DEN,136,W
WAS,136,L
PHI,93,L
PHI,115,W
BKN,107,L
SAC,117,W
ATL,141,W
NOP,113,L
MIN,103,L
DAL,127,L
MIL,101,L
HOU,140,W
CHA,129,W
IND,108,L
TOR,128,W
NYK,136,W
MEM,96,L
BOS,133,W
UTA,106,L
CHI,96,L
ORL,138,W
CLE,118,W
LAL,96,L
CHA,127,W
SAS,118,W
LAC,99,L
MIN,108,L
