TEAM_ABBREVIATION,points
ATL,118.46341463414635
BKN,105.92682926829268
BOS,114.85365853658537
CHA,116.01219512195122
CHI,116.3048780487805
CLE,119.52439024390245
DAL,114.1219512195122
DEN,122.07317073170732
DET,117.76829268292683
GSW,114.60975609756098
HOU,115.23170731707317
IND,112.42682926829268
LAC,113.76829268292683
LAL,116.34146341463415
MEM,114.67073170731707
MIA,120.86585365853658
MIL,110.63414634146342
MIN,118.0
NOP,115.52439024390245
NYK,116.45121951219512
OKC,119.02439024390245
ORL,115.7439024390244
PHI,115.8780487804878
PHX,112.58536585365853
POR,115.47560975609755
SAC,111.0
SAS,119.82926829268293
TOR,114.63414634146342
UTA,117.58536585365853
WAS,112.90243902439025
