teams,points,wins
ATL,123.52173913043478,46
BKN,116.3,20
BOS,120.44642857142857,56
CHA,121.79545454545455,44
CHI,125.0,31
CLE,124.03846153846153,52
DAL,122.92307692307692,26
DEN,125.29629629629629,54
DET,121.15,60
GSW,121.67567567567568,37
HOU,118.3076923076923,52
IND,121.21052631578948,19
LAC,120.5952380952381,42
LAL,122.62264150943396,53
MEM,121.4,25
MIA,127.76744186046511,43
MIL,120.90625,32
MIN,123.04081632653062,49
NOP,123.88461538461539,26
NYK,121.75471698113208,53
OKC,122.265625,64
ORL,122.28888888888889,45
PHI,122.5111111111111,45
PHX,118.88888888888889,45
POR,122.07142857142857,42
SAC,121.04545454545455,22
SAS,122.95161290322581,62
TOR,121.02173913043478,46
UTA,128.86363636363637,22
WAS,121.47058823529412,17
