SEASON_ID,TEAM_ABBREVIATION,PTS
2024-25,CHI,122
2024-25,WAS,119
2024-25,SAS,125
2024-25,BKN,105
2024-25,MIA,118
2024-25,ORL,105
2024-25,DEN,126
2024-25,GSW,119
2024-25,DAL,97
2024-25,CLE,118
2024-25,IND,126
2024-25,ATL,117
2024-25,MEM,132
2024-25,BOS,93
2024-25,PHI,102
2024-25,CHA,86
2024-25,PHX,98
2024-25,LAC,124
2024-25,NYK,113
2024-25,DET,133
2024-25,OKC,115
2024-25,POR,109
2024-25,MIL,140
2024-25,SAC,109
2024-25,HOU,111
2024-25,TOR,118
2024-25,UTA,105
2024-25,NOP,100
2024-25,LAL,81
2024-25,MIN,116
2024-25,MIN,117
2024-25,LAC,101
2024-25,BOS,130
2024-25,PHI,110
2024-25,PHX,117
2024-25,GSW,103
2024-25,CLE,108
2024-25,CHI,119
2024-25,MIA,153
2024-25,CHA,94
2024-25,POR,86
2024-25,UTA,111
2024-25,TOR,102
2024-25,WAS,89
2024-25,BKN,91
2024-25,MIL,125
2024-25,SAC,100
2024-25,MEM,109
2024-25,DET,119
2024-25,ATL,124
2024-25,LAL,140
2024-25,SAS,98
2024-25,NOP,104
2024-25,OKC,145
2024-25,NYK,102
2024-25,HOU,109
2024-25,IND,115
2024-25,ORL,129
2024-25,DEN,117
2024-25,DAL,124
2024-25,NYK,106
2024-25,IND,114
2024-25,NOP,111
2024-25,CLE,112
2024-25,MEM,125
2024-25,BKN,109
2024-25,MIN,141
2024-25,MIL,136
2024-25,ATL,133
2024-25,DET,115
2024-25,POR,126
2024-25,SAS,114
2024-25,CHA,96
2024-25,OKC,125
2024-25,MIA,111
2024-25,DEN,124
2024-25,WAS,103
2024-25,DAL,97
2024-25,GSW,111
2024-25,UTA,133
2024-25,LAC,134
2024-25,PHI,122
2024-25,BOS,76
2024-25,LAL,112
2024-25,ORL,96
2024-25,SAC,116
2024-25,TOR,126
2024-25,CHI,119
2024-25,PHX,112
2024-25,HOU,117
2024-25,CHI,113
2024-25,NYK,117
2024-25,LAL,120
2024-25,MIL,110
2024-25,MIN,103
2024-25,OKC,136
2024-25,NOP,114
2024-25,IND,104
2024-25,PHX,95
2024-25,MEM,124
2024-25,ATL,112
2024-25,BKN,119
2024-25,WAS,98
2024-25,BOS,119
2024-25,LAC,122
